"설치장소명",설치장소상세,설치시도명,설치시군구명,설치시설구분,서비스제공사명,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
"서구시장",시장내,대구광역시,서구,기타,SKT,Public WiFi Free,2020-12,대구광역시 남구 대명로36길 63 (대명동),대구광역시 서구 평리동 1085-1,대구광역시 서구청,053-663-2473,35.8365922,128.5748682,2020-06-30
"청소년수련관",풋살경기장,대구광역시,서구,서민·복지시설,SKT,Public WiFi Free,2020-12,대구광역시 남구 이천로28길 18 (이천동),대구광역시 서구 이현동 48-8,대구광역시 서구청,053-663-2473,35.8537053,128.599446,2020-06-30
"신애보육원",옥상,대구광역시,서구,서민·복지시설,SKT,Public WiFi Free,2020-12,대구광역시 남구 명덕로34길 16,대구광역시 서구 평리동 421-1,대구광역시 서구청,053-663-2473,35.8558869,128.587132,2020-06-30
"장애인보호작업장",아파트 상가,대구광역시,서구,서민·복지시설,KT,Public WiFi Free,2020-12,대구광역시 남구 중앙대로22길 242,대구광역시 서구 평리동 1354-1,대구광역시 서구청,053-663-2473,35.84172005,128.6038296,2020-06-30
"비산4동주민센터",헬스장,대구광역시,서구,관공서,KT,Public WiFi Free,2020-12,대구광역시 남구 큰골길 137,대구광역시 서구 비산동 213-18,대구광역시 서구청,053-663-2473,35.8361751,128.5837978,2020-06-30
"평리2동주민센터",헬스장,대구광역시,서구,관공서,KT,Public WiFi Free,2020-12,대구광역시 남구 명덕로 60,대구광역시 서구 평리동 1100-7,대구광역시 서구청,053-663-2473,35.8583489,128.5771776,2020-06-30
"보건소",민원실,대구광역시,서구,서민·복지시설,KT,Public WiFi Free,2020-12,대구광역시 남구 명덕시장길 90,대구광역시 서구 평리동 1230-9,대구광역시 서구청,053-663-2473,35.84503658,128.5879741,2020-06-30
"노인복지관",사무실,대구광역시,서구,서민·복지시설,KT,Public WiFi Free,2020-12,대구광역시 남구 봉덕로 115,대구광역시 서구 평리1동1044-4,대구광역시 서구청,053-663-2473,35.8450317,128.6032686,2020-06-30
"북부정류장",쉼터공원,대구광역시,서구,교통시설,KT,Public WiFi Free,2020-12,대구광역시 남구 월배로 496,대구광역시 서구 비산동 1856-3,대구광역시 서구청,053-663-2473,35.8367855,128.5577515,2020-06-30
"구민건강증진센터",민원실,대구광역시,서구,서민·복지시설,KT,Public WiFi Free,2020-12,대구광역시 남구 성당로 196,대구광역시 서구 비산동 42-107,대구광역시 서구청,053-663-2473,35.8502825,128.5731304,2020-06-30
"건강생활지원센터",민원실,대구광역시,서구,서민·복지시설,KT,Public WiFi Free,2020-12,대구광역시 남구 큰골길 146,대구광역시 서구 내당동 305-22,대구광역시 서구청,053-663-2473,35.8357167,128.5837225,2020-06-30
"서구청(별관)",정보화교육장,대구광역시,서구,관공서,KT,Public WiFi Free,2020-12,대구광역시 남구 중앙대로 46길 15,대구광역시 서구 평리동 1230-9,대구광역시 서구청,053-663-2473,35.8521623,128.5921762,2020-06-30
"이현시장",시장내,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 남구 명덕로 46,대구광역시 서구 평리동 606-8,대구광역시 서구청,053-663-2473,35.8591203,128.5758889,2020-06-30
"중리시장",시장내,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 남구 대명복개로4길 166,대구광역시 서구 평리동 1538-3,대구광역시 서구청,053-663-2473,35.84002858,128.5689557,2020-06-30
"내당1동주민센터",민원실,대구광역시,서구,관공서,KT,Public WiFi Free,2020-12,대구광역시 남구 관문시장4길 53,대구광역시 서구 내당동 214-33,대구광역시 서구청,053-663-2473,35.83624038,128.5606341,2020-06-30
"내당4동주민센터",민원실,대구광역시,서구,관공서,KT,Public WiFi Free,2020-12,대구광역시 남구 두류공원로 38,대구광역시 서구 내당동 354-7,대구광역시 서구청,053-663-2473,35.8417305,128.5735803,2020-06-30
"내당2,3동","민원실,회의실",대구광역시,서구,관공서,SKT,Public WiFi Free,2020-12,대구광역시 남구 명덕로32길 30,대구광역시 서구 내당동100,대구광역시 서구청,053-663-2473,35.8552846,128.5864555,2020-06-30
"비산2,3동",민원실,대구광역시,서구,관공서,KT,Public WiFi Free,2020-12,대구광역시 남구 명덕로20길 115,대구광역시 서구 비산동 125-22,대구광역시 서구청,053-663-2473,35.8523781,128.5791382,2020-06-30
"비산1동",요가실,대구광역시,서구,관공서,SKT,Public WiFi Free,2020-12,대구광역시 남구 대명로58길 11,대구광역시 서구 비산동716-8,대구광역시 서구청,053-663-2473,35.8432344,128.5878291,2020-06-30
"비산5동",청사입구,대구광역시,서구,관공서,KT,Public WiFi Free,2020-12,대구광역시 북구 칠곡중앙대로 91길 21,대구광역시 서구 비산동1185-41,대구광역시 서구청,053-663-2473,35.93623885,128.5466992,2020-06-30
"비산6동",민원실,대구광역시,서구,관공서,SKT,Public WiFi Free,2020-12,대구광역시 북구 대천로 81,대구광역시 서구 비산동491-1,대구광역시 서구청,053-663-2473,35.937318,128.5581853,2020-06-30
"비산7동",민원실,대구광역시,서구,관공서,KT,Public WiFi Free,2020-12,대구광역시 북구 구암로42길 7,대구광역시 서구 비산동1890-2,대구광역시 서구청,053-663-2473,35.9308266,128.562864,2020-06-30
"평리1동",통신실,대구광역시,서구,관공서,SKT,Public WiFi Free,2020-12,대구광역시 북구 검단동로4길 16-2,대구광역시 서구 평리동1044-1,대구광역시 서구청,053-663-2473,35.9136041,128.6273052,2020-06-30
"평리3동",민원실,대구광역시,서구,관공서,KT,Public WiFi Free,2020-12,대구광역시 북구 고성로31길 21,대구광역시 서구 평리동931-1,대구광역시 서구청,053-663-2473,35.881909,128.5835861,2020-06-30
"평리4동",민원실,대구광역시,서구,관공서,SKT,Public WiFi Free,2020-12,대구광역시 북구 매천로18길 34,대구광역시 서구 평리동1346-3,대구광역시 서구청,053-663-2473,35.9028168,128.5430417,2020-06-30
"상중이동",민원실,대구광역시,서구,관공서,KT,Public WiFi Free,2020-12,대구광역시 북구 노곡로 25 (노곡동),대구광역시 서구 중리동1082-11,대구광역시 서구청,053-663-2473,35.906434,128.5627709,2020-06-30
"원대동",민원실,대구광역시,서구,관공서,SKT,Public WiFi Free,2020-12,대구광역시 북구 관음동로 125,대구광역시 서구 원대3가동1315-2,대구광역시 서구청,053-663-2473,35.9442414,128.5473329,2020-06-30
"새길시장",시장내,대구광역시,서구,기타,KT,Public WiFi Free,2020-12,대구광역시 북구 구리로 188,대구광역시 서구 내당동 968-103,대구광역시 서구청,053-663-2473,35.9480155,128.5754049,2020-06-30
"서부시장",카페 그자리에,대구광역시,서구,기타,SKT,Public WiFi Free,2020-12,대구광역시 북구 옥산로 65,대구광역시 서구 비산동 434-13,대구광역시 서구청,053-663-2473,35.885724,128.5829108,2020-06-30
"만평시장",참기름집,대구광역시,서구,기타,SKT,Public WiFi Free,2020-12,대구광역시 북구 대동로1길 34 (산격동),대구광역시 서구 비산동1247-3,대구광역시 서구청,053-663-2473,35.8984215,128.6105282,2020-06-30
"반고개무침회골목",푸른회식당(반고개의성무침회),대구광역시,서구,기타,SKT,Public WiFi Free,2020-12,대구광역시 북구 호국로43길 27 (서변동),대구광역시 서구 내당동 13-1,대구광역시 서구청,053-663-2473,35.9210136,128.5961905,2020-06-30
"남구 다문화가족지원센터",휴게실,대구광역시,남구,서민·복지시설,LGU+,Public WiFi Free,2020-10,대구광역시 북구 칠곡중앙대로 526 (읍내동),대구광역시 남구 봉덕동 624-14,대구광역시 남구청,053-664-2474,35.9423746,128.5511118,2020-06-30
"남구 보건소",민원실,대구광역시,남구,관공서,LGU+,Public WiFi Free,2020-10,대구광역시 북구 팔달로33길 59 (노원동3가),대구광역시 남구 대명동 2003번지,대구광역시 남구청,053-664-2474,35.8907044,128.5659881,2020-06-30
"남구청",민원실,대구광역시,남구,관공서,LGU+,Public WiFi Free,2020-10,대구광역시 북구 대현남로 25,대구광역시 남구 봉덕동 565-5번지,대구광역시 남구청,053-664-2474,35.8816289,128.6052294,2020-06-30
"대구여성의전화부설성(가정)폭력상담소",휴게실,대구광역시,남구,서민·복지시설,LGU+,Public WiFi Free,2020-10,대구광역시 북구 대천로 81,대구광역시 남구 봉덕동 650-8,대구광역시 남구청,053-664-2474,35.937318,128.5581853,2020-06-30
"대덕문화전당",로비,대구광역시,남구,관공서,LGU+,Public WiFi Free,2020-03,대구광역시 북구 복현로8길 16-5,대구광역시 남구 대명9동 산201-4,대구광역시 남구청,053-664-2474,35.8953539,128.6254941,2020-06-30
"대명4동행정복지센터",민원실,대구광역시,남구,관공서,LGU+,Public WiFi Free,2020-10,대구광역시 북구 성북로 49,대구광역시 남구 대명동 3043-34,대구광역시 남구청,053-664-2474,35.8918696,128.5889017,2020-06-30
"대명6동행정복지센터",민원실,대구광역시,남구,관공서,LGU+,Public WiFi Free,2020-10,대구광역시 북구 동북로31길 30,대구광역시 남구 대명동 1086-1,대구광역시 남구청,053-664-2474,35.90173199,128.609253,2020-06-30
"봉덕1동행정복지센터",민원실,대구광역시,남구,관공서,LGU+,Public WiFi Free,2020-10,대구광역시 북구 대구체육관로 48,대구광역시 남구 봉덕동 565-5,대구광역시 남구청,053-664-2474,35.8922329,128.604311,2020-06-30
"봉덕3동행정복지센터",민원실,대구광역시,남구,관공서,LGU+,Public WiFi Free,2020-10,대구광역시 북구 동북로71길 9-29,대구광역시 남구 봉덕동 702-6,대구광역시 남구청,053-664-2474,35.8930477,128.6301072,2020-06-30
"서부터미널(관문시장 외)",대합실,대구광역시,남구,교통시설,LGU+,Public WiFi Free,2020-10,대구광역시 북구 칠성시장로 34,대구광역시 남구 대명동 1135-1,대구광역시 남구청,053-664-2474,35.8772404,128.6039645,2020-06-30
"서부터미널2",대합실,대구광역시,남구,교통시설,LGU+,Public WiFi Free,2020-10,대구광역시 북구 칠성시장로 34,대구광역시 남구 대명동 1135-1,대구광역시 남구청,053-664-2474,35.8772404,128.6039645,2020-06-30
"관문시장",시장내,대구광역시,남구,기타,SKT,Public WiFi Free,2020-10,대구광역시 북구 침산남로13길 16,대구광역시 남구 대명동 1135-4번지,대구광역시 남구청,053-664-2474,35.8903277,128.5812786,2020-06-30
"대구수화통역센터",휴게실,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 북구 성북로 55,대구광역시 남구 대명동 142-8번지,대구광역시 남구청,053-664-2474,35.8920297,128.5893493,2020-06-30
"남구시니어클럽",휴게실,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 북구 칠곡중앙대로52길 32,대구광역시 남구 이천동 318-5,대구광역시 남구청,053-664-2474,35.9214822,128.5487684,2020-06-30
"남구청소년창작센터",휴게실,대구광역시,남구,지역문화시설,SKT,Public WiFi Free,2020-10,대구광역시 북구 동암로 180,대구광역시 남구 대명동 1803-31,대구광역시 남구청,053-664-2474,35.9428816,128.570319,2020-06-30
"남부시장",시장내,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 파동로51길 26-17(파동),대구광역시 남구 대명동 797-1,대구광역시 남구청,053-664-2474,35.8265788,128.6070623,2020-06-30
"대덕문화전당",로비,대구광역시,남구,관공서,SKT,Public WiFi Free,2020-10,대구광역시 수성구 파동로51길 74(파동),대구광역시 남구 대명동 산201-4,대구광역시 남구청,053-664-2474,35.8228231,128.608831,2020-06-30
"대명9동행정복지센터",민원실,대구광역시,남구,관공서,SKT,Public WiFi Free,2020-10,대구광역시 수성구 청수로35길 47(황금동),대구광역시 남구 대명동 2680-7,대구광역시 남구청,053-664-2474,35.8411411,128.6299045,2020-06-30
"봉덕2동행정복지센터",민원실,대구광역시,남구,관공서,SKT,Public WiFi Free,2020-10,대구광역시 수성구 무열로 171(만촌동),대구광역시 남구 봉덕동 540-1,대구광역시 남구청,053-664-2474,35.8732722,128.6465117,2020-06-30
"안지랑시장",시장내,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 달구벌대로 2450(범어동),대구광역시 남구 대명동 872-1,대구광역시 남구청,053-664-2474,35.8580437,128.630552,2020-06-30
"이천동주민센터",민원실,대구광역시,남구,관공서,SKT,Public WiFi Free,2020-10,대구광역시 수성구 신천동로84길 21(수성동4가),대구광역시 남구 이천동 383-22,대구광역시 남구청,053-664-2474,35.8619736,128.6113392,2020-06-30
"대구시청소년문화의집",휴게실,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 파동로51길 56(파동),대구광역시 남구 대명2동 1822-2,대구광역시 남구청,053-664-2474,35.8235825,128.6083675,2020-06-30
"대구아동복지센터",휴게실,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 신천동로 280(수성동1가),대구광역시 남구 봉덕2동 920-4번지,대구광역시 남구청,053-664-2474,35.8495119,128.6094124,2020-06-30
"대덕노인종합복지관",휴게실,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 고산로 152(매호동),대구광역시 남구 대명동 439번지,대구광역시 남구청,053-664-2474,35.8440476,128.7066132,2020-06-30
"대명시장 및 대명신시장",시장내,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 들안로9길 56(상동),대구광역시 남구 대명동 2276-5번지,대구광역시 남구청,053-664-2474,35.8321593,128.6154835,2020-06-30
"명덕시장",시장내,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 지범로21길 16(지산동),대구광역시 남구 대명5동 139-1,대구광역시 남구청,053-664-2474,35.8247805,128.6370564,2020-06-30
"봉덕신시장",시장내,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 청호로57길 10(황금동),대구광역시 남구 봉덕1동 955-80,대구광역시 남구청,053-664-2474,35.843988,128.6381642,2020-06-30
"서부정류장",대합실,대구광역시,남구,교통시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 청수로31길 45 (황금동),대구광역시 남구 대명동 1135-1,대구광역시 남구청,053-664-2474,35.8415612,128.6252321,2020-06-30
"성당시장",시장내,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 수성로50길 38 (중동),대구광역시 남구 대명동 3023-23번지,대구광역시 남구청,053-664-2474,35.8473837,128.6151041,2020-06-30
"앞산베네스트",휴게실,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 무학로 112 (두산동),대구광역시 남구 대명동 472-12번지,대구광역시 남구청,053-664-2474,35.8292435,128.6209285,2020-06-30
"영선시장",시장내,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 들안로 287,대구광역시 남구 대명동 1999-7번지,대구광역시 남구청,053-664-2474,35.8557848,128.6170511,2020-06-30
"웰빙전통안마센터",휴게실,대구광역시,남구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 수성구 들안로 392,대구광역시 남구 대명동 2275-1번지,대구광역시 남구청,053-664-2474,35.8650802,128.618422,2020-06-30
"대명10동행정복지센터",민원실,대구광역시,남구,관공서,KT,Public WiFi Free,2020-10,대구광역시 수성구 들안로 281,대구광역시 남구 대명동 1624-21,대구광역시 남구청,053-664-2474,35.8551058,128.6167525,2020-06-30
"대명11동행정복지센터",민원실,대구광역시,남구,관공서,KT,Public WiFi Free,2020-10,대구광역시 수성구 욱수천로 99,대구광역시 남구 대명동 1180,대구광역시 남구청,053-664-2474,35.83698958,128.7128214,2020-06-30
"대명1동행정복지센터",민원실,대구광역시,남구,관공서,KT,Public WiFi Free,2020-10,대구광역시 수성구 성동로 74-16,대구광역시 남구 대명동 1652-1,대구광역시 남구청,053-664-2474,35.8423746,128.7243619,2020-06-30
"대명2동행정복지센터",민원실,대구광역시,남구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 계대동문로 77 (이곡동),대구광역시 남구 대명동 1827,대구광역시 남구청,053-664-2474,35.8558089,128.5008392,2020-06-30
"대명3동행정복지센터",민원실,대구광역시,남구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 와룡로10안길 11 (본동),대구광역시 남구 대명동 2144-3,대구광역시 남구청,053-664-2474,35.8361317,128.5394677,2020-06-30
"대명5동행정복지센터",민원실,대구광역시,남구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 성서공단북로59길 13 (갈산동),대구광역시 남구 대명동 150,대구광역시 남구청,053-664-2474,35.8457718,128.505151,2020-06-30
"강북노인복지관",복지관내,대구광역시,북구,서민·복지시설,LGU+,Public WiFi Free,2020-10,대구광역시 달서구 달구벌대로291길 100 (용산동),대구광역시 북구 관음동 1372,대구광역시 북구청,053-665-2477,35.8534129,128.5251887,2020-06-30
"강북보건지소",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 진천로3길 80 (진천동),대구광역시 북구 동천동 930-2,대구광역시 북구청,053-665-2477,35.8105822,128.5211776,2020-06-30
"강북장애인주간보호센터",건물 내,대구광역시,북구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 달서구 용산로 181 (용산동),대구광역시 북구 구암동 450-1,대구광역시 북구청,053-665-2477,35.8530407,128.5294985,2020-06-30
"검단동주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 월배로24길 13 (진천동),대구광역시 북구 검단동 1266-1,대구광역시 북구청,053-665-2477,35.814063,128.5274149,2020-06-30
"고성동 주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 도원로동길 8 (도원동),대구광역시 북구 고성동3가 6-270,대구광역시 북구청,053-665-2477,35.8076078,128.5367641,2020-06-30
"관문동 주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 송현로12안길 38 (송현동),대구광역시 북구 매천동 527-3,대구광역시 북구청,053-665-2477,35.8226744,128.5481495,2020-06-30
"관문동주민센터(노곡분소)",민원실,대구광역시,북구,관공서,SKT,Public WiFi Free,2020-10,대구광역시 달서구 달구벌대로301길 187-11 (용산동),대구광역시 북구 노곡동 318,대구광역시 북구청,053-665-2477,35.858059,128.531186,2020-06-30
"관음동 주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 당산동길 9 (성당동),대구광역시 북구 관음동 1284-10,대구광역시 북구청,053-665-2477,35.8454987,128.5451614,2020-06-30
"관음시장",관음시장 일대,대구광역시,북구,편의시설,SKT,Public WiFi Free,2020-10,대구광역시 달서구 달구벌대로291길 100 (용산동),대구광역시 북구 관음동 1284,대구광역시 북구청,053-665-2477,35.8534129,128.5251887,2020-06-30
"국우동 주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 달구벌대로291길 100 (용산동),대구광역시 북구 국우동 1109-5,대구광역시 북구청,053-665-2477,35.8534129,128.5251887,2020-06-30
"노원동 주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 성서동로53안길 45 (갈산동),대구광역시 북구 노원동2가 211,대구광역시 북구청,053-665-2477,35.8483546,128.5131072,2020-06-30
"대구북구청",민원실,대구광역시,북구,관공서,LGU+,Public WiFi Free,2020-10,대구광역시 달서구 앞산순환로 180 (송현동),대구광역시 북구 침산동 447-16,대구광역시 북구청,053-665-2477,35.8204704,128.5533069,2020-06-30
"산격종합시장",산격종합시장 일대,대구광역시,북구,편의시설,SKT,Public WiFi Free,2020-10,대구광역시 달서구 상화로 420 (상인동),대구광역시 북구 산격동 1258,대구광역시 북구청,053-665-2477,35.8071988,128.5594488,2020-06-30
"상록뇌성마비복지관",복지관내,대구광역시,북구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 달서구 성당로51길 32 (두류동),대구광역시 북구 산격동 608-2,대구광역시 북구청,053-665-2477,35.8556984,128.5722139,2020-06-30
"서변중앙시장",서변중앙시장 일대,대구광역시,북구,편의시설,SKT,Public WiFi Free,2020-10,대구광역시 달서구 야외음악당로39길 24 (두류동),대구광역시 북구 서변동 1751,대구광역시 북구청,053-665-2477,35.853712,128.5554918,2020-06-30
"선린장애인주간보호센터",건물 내,대구광역시,북구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 달서구 감삼북길 119-10 (감삼동),대구광역시 북구 관음동 477-1,대구광역시 북구청,053-665-2477,35.8510218,128.5422101,2020-06-30
"칠곡공설시장",칠성시장 일대,대구광역시,북구,편의시설,SKT,Public WiFi Free,2020-10,대구광역시 달서구 와룡로54길 28 (죽전동),대구광역시 북구 읍내동 1201-1,대구광역시 북구청,053-665-2477,35.855797,128.5398201,2020-06-30
"팔달신시장",팔달신시장 일대,대구광역시,북구,편의시설,SKT,Public WiFi Free,2020-10,대구광역시 달서구 장기로 277 (장기동),대구광역시 북구 노원동3가 750,대구광역시 북구청,053-665-2477,35.8433981,128.5299636,2020-06-30
"대불노인복지관",복지관내,대구광역시,북구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 달서구 용산로 212-7 (용산동),대구광역시 북구 복현동 536,대구광역시 북구청,053-665-2477,35.8566419,128.5312386,2020-06-30
"대현동주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 선원로 278 (용산동),대구광역시 북구 대현동 531,대구광역시 북구청,053-665-2477,35.858431,128.5230185,2020-06-30
"동대구시장",동대구시장 일대,대구광역시,북구,편의시설,KT,Public WiFi Free,2020-10,대구광역시 달서구 달구벌대로 1309 (이곡동),대구광역시 북구 대현동 390,대구광역시 북구청,053-665-2477,35.8516557,128.5106752,2020-06-30
"동천동 주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 계대동문로 77 (이곡동),대구광역시 북구 동천동 930-2,대구광역시 북구청,053-665-2477,35.8558089,128.5008392,2020-06-30
"무태조야동 분소",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 선원로 60 (신당동),대구광역시 북구 조야동 436-24,대구광역시 북구청,053-665-2477,35.8589763,128.4988484,2020-06-30
"복현2동주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 조암남로 97 (월성동),대구광역시 북구 복현동 산107-3,대구광역시 북구청,053-665-2477,35.8195332,128.5228739,2020-06-30
"북구보건소",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 월성로 65 (월성동),대구광역시 북구 침산동 521-2,대구광역시 북구청,053-665-2477,35.8309599,128.5283025,2020-06-30
"산격1동주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 진천로9길 33 (진천동),대구광역시 북구 산격동 848-61,대구광역시 북구청,053-665-2477,35.8122214,128.5228091,2020-06-30
"산격2동주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 상인서로 40 (상인동),대구광역시 북구 산격동 500-1,대구광역시 북구청,053-665-2477,35.8142773,128.5450464,2020-06-30
"산격3동주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 상원로 27 (상인동),대구광역시 북구 산격동 1393-27,대구광역시 북구청,053-665-2477,35.81255487,128.5362895,2020-06-30
"산격4동주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 상인로 25 (상인동),대구광역시 북구 산격동 1490,대구광역시 북구청,053-665-2477,35.8100742,128.5502339,2020-06-30
"성림효사랑 실버타운",건물 내,대구광역시,북구,서민·복지시설,KT,Public WiFi Free,2020-10,대구광역시 달서구 한실로 53 (도원동),대구광역시 북구 대현동 411-4,대구광역시 북구청,053-665-2477,35.8074901,128.5322212,2020-06-30
"성보재활원",건물 내,대구광역시,북구,서민·복지시설,KT,Public WiFi Free,2020-10,대구광역시 달서구 중흥로8길 41 (송현동),대구광역시 북구 복현동 315,대구광역시 북구청,053-665-2477,35.8291236,128.5547781,2020-06-30
"칠성시장",칠성시장 일대,대구광역시,북구,편의시설,KT,Public WiFi Free,2020-10,대구광역시 달서구 월배로83길 120-14 (송현동),대구광역시 북구 칠성동1가 276-102,대구광역시 북구청,053-665-2477,35.8327943,128.5456058,2020-06-30
"칠성시장 (삼성)",칠성시장 일대,대구광역시,북구,편의시설,KT,Public WiFi Free,2020-10,대구광역시 달서구 구마로26길 62 (본동),대구광역시 북구 칠성동1가 276-102,대구광역시 북구청,053-665-2477,35.8344453,128.5410812,2020-06-30
"칠성시장 (청과)",칠성시장 일대,대구광역시,북구,편의시설,KT,Public WiFi Free,2020-10,대구광역시 달서구 학산로 45 (월성동),대구광역시 북구 칠성동1가 276-102,대구광역시 북구청,053-665-2477,35.8297339,128.5326441,2020-06-30
"칠성시장 (경명)",칠성시장 일대,대구광역시,북구,편의시설,KT,Public WiFi Free,2020-10,대구광역시 달서구 계대동문로 79 (이곡동),대구광역시 북구 칠성동1가 276-102,대구광역시 북구청,053-665-2477,35.85578221,128.5011352,2020-06-30
"침산1동주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 진천로9길 33 (진천동),대구광역시 북구 침산동 1660-4,대구광역시 북구청,053-665-2477,35.8122214,128.5228091,2020-06-30
"침산2동 주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 당산로 37-14 (본리동),대구광역시 북구 침산동 5-1,대구광역시 북구청,053-665-2477,35.84101503,128.5431658,2020-06-30
"침산3동주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 학산로7길 39 (월성동),대구광역시 북구 침산동 521-5,대구광역시 북구청,053-665-2477,35.8326319,128.530545,2020-06-30
"태전1동주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 신당로 56 (신당동),대구광역시 북구 태전동 255-28,대구광역시 북구청,053-665-2477,35.8527016,128.4979101,2020-06-30
"태전2동주민센터",민원실,대구광역시,북구,관공서,KT,Public WiFi Free,2020-10,대구광역시 달서구 신당로 55 (신당동),대구광역시 북구 태전동 628-5,대구광역시 북구청,053-665-2477,35.8547496,128.4978565,2020-06-30
"태전중앙시장",태전중앙시장 일대,대구광역시,북구,편의시설,LGU+,Public WiFi Free,2020-10,대구광역시 달서구 조암남로20길 48 (월성동),대구광역시 북구 태전동 156-1,대구광역시 북구청,053-665-2477,35.8217602,128.521462,2020-06-30
"함지노인복지관",건물 내,대구광역시,북구,서민·복지시설,SKT,Public WiFi Free,2020-10,대구광역시 달서구 앞산순환로 248 (송현동),대구광역시 북구 구암동 773-1,대구광역시 북구청,053-665-2477,35.82324193,128.557038,2020-06-30
"태전공원",공원 내,대구광역시,북구,서민·복지시설,KT(구청 자체 설치),Public WiFi Free,2020-10,대구광역시 달서구 조암남로 137 (대천동),대구광역시 북구 태전동 938,대구광역시 북구청,000-0000-0000,35.81748676,128.5191877,2020-06-30
"대구장애인종합복지관",휴게실,대구광역시,수성구,서민·복지시설,LGU+,Public WiFi Free,2020-10,대구광역시 달성군 논공읍 논공로 242,대구광역시 수성구 파동 1-1,한국통신사업자협회,1899-4876,35.7233173,128.4545652,2020-06-30
"애활원",휴게실,대구광역시,수성구,서민·복지시설,LGU+,Public WiFi Free,2020-10,대구광역시 달성군 화원읍 성천로 39,대구광역시 수성구 파동 13-5,한국통신사업자협회,1899-4876,35.8018248,128.4874588,2020-06-30
"황금시장",시장 입구,대구광역시,수성구,서민·복지시설,LGU+,Public WiFi Free,2020-10,대구광역시 달성군 옥포면 옥포로 13,대구광역시 수성구 황금2동 764,한국통신사업자협회,1899-4876,35.7888974,128.4717664,2020-06-30
